C00136457|01162013|839|1|839
C00428896|01282013|208|1|208
C00150797|01152013|250|3|758
C00402602|03192013|1500|2|3000
C00428052|06282013|3750|2|7500
C00002089|01152013|340|10|3416
C00300731|08272013|220|1|220
C00162339|12032013|500|1|500
C00033779|01152013|5000|1|5000
C00498709|01222013|1450|2|2900
C00325936|02112013|1000|2|2000
C00364158|02212013|250|1|250
C00331769|03122013|500|1|500
C00509950|01092013|250|1|250
C00352849|10232013|500|1|500
C00166017|03312013|1550|2|3100
C00204370|12162013|1000|1|1000
C00002600|03292013|2500|1|2500
C00412312|09032013|2600|3|6100
C00502179|03282013|300|1|300
C00450049|08012013|500|1|500
C00469882|03052013|250|1|250
C00477240|05162013|1000|1|1000
C00495531|01032013|500|1|500
C00473587|07242013|1000|1|1000
C00550707|09042013|1000|1|1000
C00542571|10072013|519|1|519
C00475145|10032013|250|1|250
C00451005|09302013|500|3|2000
C00497180|01112013|500|1|500
C00020818|11252013|1000|1|1000
C00081356|07312013|500|1|500
C00233361|12132013|300|1|300
C00499467|11142013|1000|1|1000
C00223073|12182013|200|1|200
C00496141|01012013|1125|2|2250
C00538637|02242013|750|2|1500
C00514893|12312013|500|1|500
C00312017|03262013|2600|2|5200
C00508077|03312013|-2500|1|-2500
C00437756|03272013|750|4|3000
C00413096|03282013|1425|2|2850
C00432906|03282013|500|1|500
C00497933|10162013|1500|1|1500
C00507731|03312013|-200|4|-1000
C00492421|03182013|25000|1|25000
C00518951|03292013|687|1|687
C00486134|10252013|250|1|250
C00215129|12312013|276|6|1650
C00376590|07312013|250|1|250
C00075291|12232013|360|2|720
C00408260|02012013|750|2|1500
C00004473|01282013|365|8|2920
C00144147|06302013|285|4|1095
C00030734|02142013|250|1|250
C00016683|01312013|208|106|26678
C00003327|04072013|250|5|1350
C00063164|11182013|200|1|200
C00280743|03272013|444|49|23186
C00263723|01022013|650|2|1300
C00375568|09252013|1000|1|1000
C00224618|01312013|416|1|416
C00065987|02282013|210|5|1452
C00497917|02042013|5000|1|5000
C00039503|02282013|200|1|200
C00253153|12312013|4000|5|19500
C00034934|12162013|200|1|200
C00235853|02192013|225|7|1725
C00226548|02152013|229|2|458
C00010868|02272013|250|3|1450
C00252940|02122013|5000|1|5000
C00483693|01042013|212|1|212
C00077305|10312013|208|1|208
C00147066|10152013|5000|1|5000
C00400929|02152013|250|1|250
C00126763|03262013|5000|2|10000
C00030809|10152013|500|1|500
C00024679|02072013|250|1|250
C00012245|02152013|416|1|416
C00240069|02172013|236|4|895
C00478099|10312013|495|4|1923
C00135558|08232013|1500|1|1500
C00370585|02282013|416|1|416
C00408518|07022013|500|1|500
C00507939|12312013|500|1|500
C00103549|01242013|2500|1|2500
C00518225|01102013|300|1|300
C00367094|01022013|250|2|500
C00425686|03042013|250|1|250
C00278275|12312013|600|1|600
C00335091|12312013|1000|1|1000
C00450189|03262013|250|1|250
C00389429|12302013|1000|1|1000
C00503201|06302013|300|7|2100
C00275529|01312013|216|1|216
C00441311|01012013|1750|1|1750
C00494567|03282013|2500|1|2500
C00391383|05152013|450|1|450
C00379180|11072013|1000|1|1000
C00463687|09302013|500|1|500
C00461822|12202013|2600|1|2600
C00364935|03042013|500|1|500
C00473132|06282013|250|1|250
C00307314|09252013|250|1|250
C00519082|01242013|750|4|2750
C00333427|08192013|250|2|500
C00501908|01312013|1750|2|3500
C00369686|05312013|1500|4|5000
C00445452|09232013|250|1|250
C00477323|03252013|500|3|1250
C00464149|03202013|500|1|500
C00331389|03282013|300|1|300
C00358952|09302013|2550|2|5100
C00470948|01292013|2500|1|2500
C00509729|10052013|1000|1|1000
C00350520|03052013|1450|2|2900
C00512202|03312013|2600|1|2600
C00499947|03312013|5|1|5
C00541086|03012013|1000|1|1000
C00289983|07022013|1000|1|1000
C00459255|07282013|1000|1|1000
C00120683|03282013|500|1|500
C00476523|12272013|2500|2|5000
C00318196|11262013|350|1|350
C00472241|09232013|1000|1|1000
C00451336|03212013|2500|1|2500
C00415331|12022013|250|1|250
C00472704|08292013|959|1|959
C00541011|06182013|500|1|500
C00254441|12202013|1000|1|1000
C00541003|12092013|1000|1|1000
C00521948|08162013|1000|1|1000
C00516963|03082013|250|2|500
C00444620|10112013|250|5|1750
C00465963|02202013|1272|1|1272
C00236513|03112013|500|1|500
C00195628|03112013|500|1|500
C00531285|11012013|250|1|250
C00383828|03102013|2600|3|5700
C00540476|02152013|1000|1|1000
C00506063|11152013|1250|1|1250
C00544445|07082013|500|1|500
C00334706|02142013|500|4|2000
C00543306|12022013|2500|1|2500
C00512129|09302013|350|1|350
C00516955|01102013|625|2|1250
C00376939|03302013|500|1|500
C00286500|03242013|250|1|250
